country,ir,loi,cpi
US,10,1,3.76
US,10,2,3.76
US,10,3,3.76
US,10,4,4.55
US,10,5,4.55
US,10,6,4.55
US,10,7,5.35
US,10,8,5.35
US,10,9,5.35
US,10,10,5.35
US,10,11,6.73
US,10,12,6.73
US,10,13,6.73
US,10,14,6.73
US,10,15,6.73
US,10,16,7.42
US,10,17,7.42
US,10,18,7.42
US,10,19,7.42
US,10,20,7.42
US,10,21,7.52
US,10,22,7.52
US,10,23,7.52
US,10,24,7.52
US,10,25,7.52
US,10,26,8.01
US,10,27,8.01
US,10,28,8.01
US,10,29,8.01
US,10,30,8.01
US,10,31,8.61
US,10,32,8.61
US,10,33,8.61
US,10,34,8.61
US,10,35,8.61
US,10,36,8.61
US,10,37,8.61
US,10,38,8.61
US,10,39,8.61
US,10,40,8.61
US,10,41,8.61
US,10,42,8.61
US,10,43,8.61
US,10,44,8.61
US,10,45,8.61
US,20,1,2.77
US,20,2,2.77
US,20,3,2.77
US,20,4,3.66
US,20,5,3.66
US,20,6,3.66
US,20,7,4.46
US,20,8,4.46
US,20,9,4.46
US,20,10,4.46
US,20,11,5.54
US,20,12,5.54
US,20,13,5.54
US,20,14,5.54
US,20,15,5.54
US,20,16,6.13
US,20,17,6.13
US,20,18,6.13
US,20,19,6.13
US,20,20,6.13
US,20,21,6.24
US,20,22,6.24
US,20,23,6.24
US,20,24,6.24
US,20,25,6.24
US,20,26,6.63
US,20,27,6.63
US,20,28,6.63
US,20,29,6.63
US,20,30,6.63
US,20,31,7.42
US,20,32,7.42
US,20,33,7.42
US,20,34,7.42
US,20,35,7.42
US,20,36,7.42
US,20,37,7.42
US,20,38,7.42
US,20,39,7.42
US,20,40,7.42
US,20,41,7.42
US,20,42,7.42
US,20,43,7.42
US,20,44,7.42
US,20,45,7.42
US,30,1,2.38
US,30,2,2.38
US,30,3,2.38
US,30,4,2.97
US,30,5,2.97
US,30,6,2.97
US,30,7,4.15
US,30,8,4.15
US,30,9,4.15
US,30,10,4.15
US,30,11,5.35
US,30,12,5.35
US,30,13,5.35
US,30,14,5.35
US,30,15,5.35
US,30,16,5.74
US,30,17,5.74
US,30,18,5.74
US,30,19,5.74
US,30,20,5.74
US,30,21,5.84
US,30,22,5.84
US,30,23,5.84
US,30,24,5.84
US,30,25,5.84
US,30,26,5.93
US,30,27,5.93
US,30,28,5.93
US,30,29,5.93
US,30,30,5.93
US,30,31,6.63
US,30,32,6.63
US,30,33,6.63
US,30,34,6.63
US,30,35,6.63
US,30,36,6.63
US,30,37,6.63
US,30,38,6.63
US,30,39,6.63
US,30,40,6.63
US,30,41,6.63
US,30,42,6.63
US,30,43,6.63
US,30,44,6.63
US,30,45,6.63
US,40,1,1.98
US,40,2,1.98
US,40,3,1.98
US,40,4,2.38
US,40,5,2.38
US,40,6,2.38
US,40,7,3.26
US,40,8,3.26
US,40,9,3.26
US,40,10,3.26
US,40,11,4.15
US,40,12,4.15
US,40,13,4.15
US,40,14,4.15
US,40,15,4.15
US,40,16,4.65
US,40,17,4.65
US,40,18,4.65
